monthly_income_k,debt_ratio,loan_amount_k,credit_history_months,overdue_count,employment_years,home_ownership,loan_purpose,region,default_risk
21.05,0.124,22.93,137,2,4.4,own,consumer,west,low
21.95,0.393,30.21,55,3,12.9,mortgage,car,west,low
15.01,0.543,10.89,203,1,6.2,rent,car,west,low
18.62,0.683,19.76,186,1,6.0,own,consumer,south,low
19.14,0.214,16.06,54,0,9.8,mortgage,working_capital,south,low
15.16,0.508,9.42,28,3,10.8,rent,working_capital,south,low
31.14,0.406,26.95,105,2,3.5,rent,working_capital,north,low
28.29,0.316,25.02,25,0,3.8,rent,car,north,low
13.98,0.376,24.06,228,0,2.5,rent,working_capital,north,low
16.94,0.308,24.58,55,0,5.4,rent,working_capital,south,low
12.68,0.186,40.25,23,1,2.5,rent,consumer,north,high
11.98,0.471,2.0,184,0,6.1,mortgage,working_capital,west,low
12.55,0.216,15.79,61,0,4.9,mortgage,consumer,west,low
23.66,0.528,21.38,137,3,11.9,mortgage,consumer,east,low
14.5,0.48,25.31,143,1,12.2,rent,car,north,low
17.65,0.274,29.09,78,3,4.5,rent,medical,west,low
18.07,0.299,16.27,195,0,1.3,mortgage,consumer,west,low
14.9,0.53,16.38,139,1,1.9,rent,working_capital,west,low
7.19,0.517,30.57,123,0,6.4,mortgage,education,west,high
37.81,0.572,20.45,210,0,4.1,mortgage,medical,west,low
13.11,0.515,18.09,73,0,12.7,mortgage,car,north,low
21.31,0.467,31.63,139,0,8.0,rent,education,west,low
23.9,0.549,26.73,43,0,6.0,own,consumer,east,low
21.89,0.305,2.0,109,0,8.7,own,medical,south,low
14.64,0.55,19.88,108,0,3.4,mortgage,car,north,low
23.47,0.337,24.82,55,2,5.1,mortgage,car,south,low
16.86,0.174,19.89,74,0,6.9,mortgage,working_capital,west,low
23.32,0.2,37.34,226,3,0.0,mortgage,medical,north,high
7.28,0.44,27.32,177,0,7.3,mortgage,car,south,low
16.08,0.215,2.0,83,3,7.0,mortgage,car,west,low
14.33,0.242,30.34,236,1,17.1,mortgage,consumer,north,low
17.49,0.304,27.12,121,0,9.8,mortgage,education,north,low
30.35,0.378,33.16,211,0,3.8,rent,medical,north,low
22.99,0.425,29.35,160,1,11.1,mortgage,car,west,high
26.03,0.423,15.03,187,0,1.8,rent,working_capital,south,low
21.01,0.331,24.06,66,3,4.0,mortgage,consumer,east,low
13.27,0.507,31.06,207,0,0.5,rent,car,west,low
22.2,0.347,15.5,60,1,1.6,mortgage,consumer,north,low
20.76,0.174,15.51,79,0,7.3,mortgage,consumer,east,low
13.04,0.256,2.0,215,1,5.5,own,medical,east,low
30.58,0.43,37.99,41,0,2.1,mortgage,working_capital,west,low
21.52,0.429,12.39,199,0,10.0,rent,car,east,low
15.88,0.233,2.0,232,0,6.1,rent,education,south,low
21.82,0.629,28.68,89,1,5.5,rent,consumer,north,high
17.66,0.429,13.72,126,1,16.6,mortgage,consumer,east,low
12.23,0.369,25.55,3,0,2.4,mortgage,working_capital,north,low
7.18,0.02,27.59,229,1,13.4,own,medical,east,low
14.16,0.445,29.18,3,1,6.6,mortgage,education,north,low
5.0,0.524,34.2,146,1,8.8,rent,education,east,high
30.09,0.537,21.19,13,2,9.4,rent,car,west,low
23.38,0.407,32.3,178,1,3.6,rent,medical,west,high
19.48,0.637,29.21,59,2,11.2,mortgage,education,north,low
8.89,0.366,22.47,34,2,8.6,mortgage,medical,east,high
29.21,0.211,20.18,180,1,3.9,own,car,west,low
13.31,0.44,15.81,230,2,3.4,rent,consumer,north,low
26.5,0.496,33.04,31,1,16.9,rent,education,south,high
4.25,0.19,13.27,18,0,6.9,rent,education,west,high
20.12,0.299,55.05,188,0,4.8,mortgage,car,west,high
13.59,0.464,34.72,102,0,0.0,mortgage,working_capital,east,low
24.65,0.175,12.78,85,0,11.5,mortgage,consumer,east,low
24.29,0.455,19.14,107,0,3.5,own,education,east,low
17.55,0.389,13.55,7,3,4.3,mortgage,working_capital,south,low
25.39,0.644,12.44,90,1,8.7,mortgage,working_capital,south,low
18.05,0.103,28.62,190,1,12.7,own,car,south,low
25.28,0.701,36.9,155,0,9.2,rent,education,south,low
17.22,0.622,25.76,37,2,4.2,mortgage,working_capital,south,high
20.9,0.426,12.78,62,2,9.2,mortgage,education,north,low
13.62,0.252,31.0,8,0,13.6,rent,consumer,west,high
17.34,0.065,17.29,140,0,5.8,rent,education,east,low
27.18,0.365,20.23,4,2,9.9,own,education,south,low
12.19,0.374,22.19,80,0,12.3,rent,medical,west,low
7.18,0.343,29.47,182,1,4.5,rent,working_capital,south,low
28.19,0.289,11.23,188,0,3.6,own,consumer,east,low
12.17,0.477,26.82,4,1,3.4,own,working_capital,west,high
12.92,0.461,27.71,45,3,7.9,rent,education,south,low
22.77,0.491,25.29,69,0,1.9,mortgage,car,south,low
35.54,0.444,28.19,109,0,7.4,mortgage,car,south,low
17.69,0.319,5.99,214,1,12.4,rent,car,west,high
25.91,0.437,36.6,187,0,3.4,own,working_capital,east,low
12.02,0.317,40.45,239,3,6.4,mortgage,working_capital,west,low
17.33,0.02,12.45,236,1,8.3,rent,medical,north,low
13.46,0.578,17.87,198,1,10.9,rent,consumer,north,low
29.41,0.102,11.92,206,1,6.2,rent,education,west,low
13.27,0.371,35.37,177,2,13.6,rent,consumer,west,low
15.55,0.458,32.02,180,0,4.1,mortgage,medical,north,low
17.66,0.296,5.2,152,2,0.0,mortgage,car,west,low
10.94,0.453,12.94,228,2,11.1,mortgage,medical,east,low
21.5,0.287,38.05,220,3,0.0,own,car,east,low
13.61,0.455,32.12,104,1,6.6,own,medical,east,high
19.81,0.494,37.22,186,1,7.8,rent,car,east,low
12.66,0.429,20.8,161,0,9.5,mortgage,working_capital,north,low
3.5,0.534,18.22,132,1,2.9,own,consumer,east,low
15.99,0.669,22.31,136,1,3.4,rent,medical,south,low
9.05,0.413,12.69,230,0,7.1,rent,education,north,low
35.81,0.392,10.44,162,2,2.4,rent,education,north,low
26.69,0.324,25.1,33,1,9.7,mortgage,working_capital,west,low
24.98,0.459,22.4,68,2,0.0,rent,education,west,low
11.81,0.434,12.84,234,0,12.4,rent,education,east,low
21.31,0.186,22.52,96,0,10.7,mortgage,medical,west,low
17.71,0.419,22.24,202,0,4.8,mortgage,medical,west,low
7.75,0.466,35.09,101,0,2.4,mortgage,consumer,south,high
26.47,0.105,25.4,59,0,6.3,rent,car,east,low
18.77,0.832,19.97,43,0,9.6,mortgage,car,west,low
19.72,0.541,23.39,163,0,7.6,rent,education,west,low
15.15,0.258,17.23,222,0,7.9,rent,working_capital,south,low
6.59,0.652,3.42,3,4,2.7,own,working_capital,west,low
16.28,0.587,24.97,237,0,9.4,rent,car,west,low
28.54,0.269,32.82,206,0,6.2,rent,working_capital,west,low
8.27,0.129,30.2,139,0,13.6,mortgage,medical,east,low
