tenure_months,monthly_fee,support_calls_90d,data_usage_gb,payment_delay_days,satisfaction_score,contract_type,internet_type,city_tier,auto_pay,senior_customer,churn
33,93.58,0,140.26,4,5.2,month_to_month,broadband,tier_2,yes,no,no
7,110.12,0,150.28,3,4.81,two_year,fiber,tier_2,no,no,yes
40,61.9,2,135.93,4,6.3,one_year,fiber,tier_3,yes,yes,no
47,74.55,2,102.32,0,7.79,month_to_month,fiber,tier_2,yes,no,no
37,86.88,2,157.46,1,2.42,one_year,broadband,tier_1,no,no,yes
46,95.84,3,86.99,1,5.51,one_year,mobile,tier_3,no,yes,no
22,92.09,3,125.11,3,4.66,month_to_month,fiber,tier_2,yes,no,yes
63,121.48,5,109.68,4,6.22,one_year,fiber,tier_2,no,yes,yes
13,144.09,2,59.27,3,2.38,one_year,broadband,tier_2,no,no,yes
38,64.29,2,178.95,1,7.53,two_year,mobile,tier_3,no,no,no
3,119.02,2,124.42,1,5.86,one_year,fiber,tier_1,yes,no,yes
29,95.3,1,137.9,1,4.91,two_year,fiber,tier_1,yes,yes,no
49,43.62,3,184.68,2,7.96,two_year,fiber,tier_1,yes,yes,no
7,89.23,2,176.78,1,4.56,month_to_month,fiber,tier_2,yes,yes,yes
25,70.62,1,109.98,0,6.72,two_year,fiber,tier_2,yes,no,no
13,76.55,3,142.5,1,5.43,one_year,mobile,tier_2,yes,no,yes
12,57.04,2,101.8,4,6.11,two_year,fiber,tier_3,yes,no,no
31,66.29,3,114.46,0,6.92,month_to_month,fiber,tier_3,no,yes,no
14,93.56,2,192.78,7,7.39,month_to_month,mobile,tier_1,yes,no,yes
61,101.92,3,146.15,2,7.16,month_to_month,fiber,tier_2,yes,no,no
2,92.11,2,130.6,3,6.14,month_to_month,mobile,tier_3,yes,no,no
48,107.99,1,156.07,3,5.3,one_year,broadband,tier_2,yes,no,no
33,90.29,2,168.1,3,5.91,two_year,fiber,tier_2,no,yes,no
24,68.86,3,121.59,2,9.2,month_to_month,fiber,tier_3,yes,no,no
65,104.33,2,109.27,3,8.11,month_to_month,mobile,tier_3,yes,no,yes
49,87.56,0,205.37,0,7.52,month_to_month,broadband,tier_2,no,no,no
28,85.15,2,156.66,1,7.79,one_year,fiber,tier_2,yes,no,yes
2,87.27,2,160.83,1,7.53,one_year,broadband,tier_1,yes,yes,yes
2,95.06,3,186.15,4,8.69,one_year,fiber,tier_2,no,no,no
38,58.59,5,75.03,3,5.4,two_year,broadband,tier_2,yes,no,yes
6,61.97,1,161.59,2,8.78,month_to_month,fiber,tier_2,yes,no,no
41,72.11,3,90.32,1,6.14,one_year,broadband,tier_2,no,yes,no
67,56.24,1,149.2,1,8.62,one_year,broadband,tier_2,no,no,no
58,81.98,1,146.37,6,3.99,month_to_month,fiber,tier_3,yes,no,yes
32,131.14,0,44.03,1,7.06,two_year,broadband,tier_2,no,yes,no
