claim_amount_k,claim_delay_days,policy_tenure_months,prior_claims,vehicle_age_years,premium_delay_days,accident_severity,repair_shop_type,police_report,night_accident,province,fraud_label
17.67,3,112,0,2,3,major,network,yes,yes,south,legit
21.92,11,104,1,9,6,minor,network,yes,no,east,fraud
25.03,6,22,0,9,1,moderate,network,yes,no,north,legit
23.92,7,117,0,10,1,moderate,network,yes,yes,south,legit
15.79,9,20,1,16,6,minor,outside,yes,no,west,legit
18.58,7,6,1,3,2,moderate,network,yes,no,north,legit
25.13,7,54,0,8,4,moderate,network,yes,no,north,legit
12.79,5,52,1,2,4,minor,network,yes,no,west,legit
12.67,6,104,1,3,4,major,outside,no,no,north,legit
23.3,4,2,1,4,2,moderate,outside,yes,no,east,legit
32.49,6,68,0,10,0,moderate,outside,yes,no,east,legit
0.8,8,65,0,0,3,moderate,outside,yes,no,south,legit
17.16,10,1,1,0,2,moderate,network,yes,no,north,legit
11.0,5,63,0,9,3,moderate,network,yes,no,west,legit
20.01,10,96,1,3,4,moderate,network,yes,yes,east,fraud
14.33,7,29,0,7,1,minor,outside,yes,no,north,legit
16.57,10,43,0,8,6,minor,network,no,no,south,fraud
21.25,5,96,0,17,1,moderate,network,yes,no,west,legit
19.51,6,19,2,16,2,moderate,network,no,no,north,legit
24.03,6,83,1,2,5,minor,outside,yes,no,west,legit
13.52,10,57,2,2,2,minor,network,yes,no,north,legit
9.48,2,91,2,8,1,minor,outside,no,yes,west,fraud
2.55,7,115,0,1,4,moderate,network,yes,yes,south,legit
16.82,7,35,0,14,2,major,outside,no,no,east,fraud
15.72,5,14,0,5,5,minor,network,yes,no,west,legit
14.65,8,57,3,4,2,major,network,yes,no,south,legit
21.18,9,47,1,9,2,major,network,no,no,north,legit
9.67,12,44,0,4,3,minor,outside,yes,no,east,fraud
14.14,7,94,0,15,2,minor,network,yes,no,south,legit
26.38,3,92,2,5,2,minor,network,yes,no,south,fraud
9.21,5,102,0,13,4,minor,network,yes,yes,west,legit
13.25,5,5,1,13,3,moderate,network,yes,no,north,fraud
28.58,5,32,0,14,3,minor,network,no,yes,south,fraud
34.98,8,108,2,2,8,minor,network,yes,no,south,legit
0.8,5,119,0,7,9,minor,network,no,yes,west,legit
6.57,6,56,2,13,1,minor,network,yes,no,east,legit
17.7,8,8,1,10,4,minor,network,yes,yes,south,legit
18.49,7,111,0,9,2,minor,outside,no,no,north,fraud
16.72,9,40,0,17,3,minor,outside,yes,yes,west,legit
17.3,15,98,0,13,3,moderate,network,no,no,west,legit
0.8,5,76,0,3,7,minor,network,no,no,north,legit
12.78,5,28,1,8,2,moderate,network,yes,no,east,fraud
1.9,6,75,2,2,5,minor,outside,yes,no,south,legit
9.74,5,89,0,5,3,minor,network,yes,no,south,legit
24.7,5,11,1,6,4,minor,outside,yes,yes,north,fraud
14.16,8,92,0,9,0,moderate,outside,yes,no,south,legit
19.76,9,26,3,2,2,major,network,yes,no,east,legit
12.23,2,45,5,16,2,minor,network,yes,no,south,legit
26.73,9,53,1,12,1,moderate,outside,no,no,north,fraud
0.8,3,71,0,6,1,major,network,yes,yes,west,legit
22.92,5,105,2,12,2,minor,network,yes,no,west,legit
12.41,10,120,0,1,3,major,outside,yes,no,south,legit
13.95,6,93,1,1,3,minor,network,yes,no,east,legit
28.49,3,41,1,2,0,moderate,outside,yes,no,west,legit
10.37,7,93,1,10,7,moderate,network,yes,no,north,fraud
25.11,6,39,2,13,4,major,network,yes,yes,south,legit
10.55,8,17,0,5,4,moderate,network,no,yes,east,legit
25.58,8,20,1,0,2,minor,outside,yes,no,west,legit
22.32,2,36,2,11,2,moderate,outside,yes,yes,south,fraud
20.36,4,52,0,4,2,moderate,network,no,no,north,legit
18.18,9,95,1,1,3,major,network,yes,no,west,legit
23.15,6,63,1,3,6,minor,outside,yes,no,east,legit
25.28,6,28,2,0,6,moderate,network,no,yes,west,fraud
17.96,6,30,1,2,2,major,network,no,no,south,legit
25.22,9,46,2,8,5,moderate,network,yes,yes,west,legit
7.74,5,87,0,9,3,major,outside,yes,yes,east,legit
10.84,6,79,2,5,4,moderate,outside,yes,no,west,legit
19.78,6,23,1,14,4,minor,network,yes,no,north,fraud
36.46,6,86,0,17,3,moderate,network,no,no,south,legit
13.04,7,30,0,0,4,moderate,outside,yes,no,west,legit
17.84,3,4,2,2,1,moderate,outside,no,yes,north,legit
11.7,8,41,0,10,4,major,network,yes,no,north,legit
3.87,8,96,0,5,3,minor,outside,no,no,west,legit
21.05,5,10,1,11,3,minor,outside,no,no,north,fraud
14.91,4,5,0,11,2,minor,network,yes,no,west,legit
21.27,6,61,1,0,5,major,network,yes,yes,north,legit
6.88,4,14,0,5,7,minor,network,yes,yes,south,fraud
18.09,9,111,0,17,1,major,network,yes,no,north,legit
20.01,6,115,0,4,5,moderate,outside,no,yes,east,legit
0.8,9,31,0,17,5,moderate,outside,yes,no,east,legit
25.44,6,16,2,2,1,moderate,outside,yes,no,east,fraud
17.61,7,4,1,8,1,moderate,network,no,no,east,legit
17.83,3,60,2,15,1,major,network,yes,no,west,legit
15.71,8,1,1,15,2,major,network,no,yes,west,fraud
12.85,9,22,0,6,4,major,network,yes,no,east,legit
20.52,6,66,2,3,6,moderate,network,no,no,west,fraud
3.55,9,77,0,11,2,minor,network,no,yes,south,legit
20.5,8,19,0,0,3,minor,outside,yes,yes,south,legit
19.71,7,27,0,10,0,moderate,network,yes,yes,west,legit
17.49,4,96,3,17,2,minor,outside,yes,no,north,legit
21.38,7,80,0,15,4,minor,network,no,yes,south,legit
29.73,9,75,2,10,2,moderate,network,yes,no,west,legit
19.23,7,9,1,5,6,minor,network,yes,yes,east,legit
6.39,5,93,1,7,2,minor,outside,yes,no,east,legit
8.6,4,51,2,4,1,moderate,network,yes,no,north,legit
10.95,7,77,0,3,2,moderate,network,yes,no,south,legit
6.51,6,113,1,6,4,moderate,outside,no,yes,west,legit
6.72,7,30,1,9,2,minor,outside,no,yes,east,legit
6.51,5,34,1,9,3,major,network,yes,no,south,legit
28.11,8,100,0,3,2,moderate,outside,yes,no,north,legit
28.17,3,25,1,6,7,moderate,network,yes,no,south,legit
10.41,6,10,0,9,3,minor,network,yes,yes,west,legit
20.57,5,13,1,14,1,moderate,network,yes,no,east,legit
19.07,9,40,0,10,4,moderate,network,yes,no,south,legit
31.96,9,19,0,9,4,minor,network,yes,no,north,fraud
3.85,6,92,0,0,5,minor,network,yes,no,east,legit
17.33,4,12,0,7,4,moderate,network,yes,yes,east,fraud
11.21,9,5,1,4,4,moderate,network,no,no,south,legit
16.15,9,103,0,16,1,major,network,yes,no,north,legit
15.46,4,54,0,11,3,moderate,network,yes,yes,east,legit
9.28,7,43,1,17,2,moderate,network,yes,no,south,legit
23.48,7,56,1,15,6,moderate,network,yes,no,north,legit
24.84,3,23,1,11,1,minor,network,no,yes,west,legit
2.75,9,78,0,11,3,minor,outside,yes,no,south,legit
