近30天登录天数,核心功能使用次数,团队成员数,当前套餐,客服咨询次数,月活跃时长_小时,自动化流程数,所属行业,数据量_GB,升级建议
1,25,18,基础版,2,30.8,2,医疗,3.67,保留当前套餐
18,17,14,专业版,3,1.0,3,制造,21.27,保留当前套餐
26,26,4,基础版,1,39.0,6,制造,12.75,升级专业版
14,19,9,基础版,2,20.5,3,咨询服务,34.6,保留当前套餐
15,22,13,免费版,3,9.2,2,教育,29.23,保留当前套餐
16,29,18,基础版,1,26.0,3,教育,26.77,升级专业版
3,22,20,免费版,2,10.4,4,制造,18.76,保留当前套餐
4,33,9,免费版,3,33.3,6,教育,22.99,保留当前套餐
6,19,6,免费版,1,17.7,2,制造,24.08,保留当前套餐
7,22,6,专业版,0,31.5,7,电商,11.27,保留当前套餐
19,24,11,基础版,1,31.3,4,电商,25.15,保留当前套餐
11,21,6,免费版,0,28.3,3,制造,4.97,保留当前套餐
15,24,7,基础版,2,1.0,6,制造,15.58,保留当前套餐
14,17,40,免费版,0,27.2,3,电商,15.65,保留当前套餐
5,13,6,免费版,4,25.1,2,教育,16.18,保留当前套餐
27,20,24,专业版,0,26.9,4,咨询服务,26.63,升级专业版
7,35,30,基础版,0,21.8,8,咨询服务,29.73,保留当前套餐
2,24,21,专业版,2,13.6,6,咨询服务,24.51,保留当前套餐
13,32,5,免费版,2,17.3,4,电商,4.53,保留当前套餐
5,16,18,基础版,1,17.8,4,电商,14.65,保留当前套餐
9,28,6,专业版,1,9.8,8,咨询服务,11.41,保留当前套餐
1,21,36,免费版,4,19.9,10,制造,14.01,保留当前套餐
21,23,7,免费版,2,13.6,4,制造,46.99,升级专业版
12,23,6,基础版,1,32.7,5,医疗,13.53,保留当前套餐
24,22,11,专业版,0,17.5,4,教育,17.85,升级专业版
16,25,4,基础版,2,20.7,6,教育,14.4,保留当前套餐
27,19,4,基础版,1,11.8,4,电商,31.26,升级专业版
28,27,34,基础版,4,31.5,6,电商,20.86,升级专业版
18,31,19,专业版,2,27.3,7,咨询服务,9.92,保留当前套餐
22,18,21,免费版,0,8.3,4,制造,0.5,保留当前套餐
23,21,4,基础版,3,14.2,9,医疗,14.62,保留当前套餐
11,23,7,免费版,0,1.0,3,制造,9.87,保留当前套餐
14,26,15,基础版,3,18.1,3,咨询服务,17.39,保留当前套餐
4,23,4,免费版,0,24.0,7,电商,35.99,保留当前套餐
11,19,18,免费版,2,20.3,2,医疗,13.76,保留当前套餐
26,22,8,专业版,2,12.0,11,医疗,13.97,保留当前套餐
15,27,23,免费版,1,11.1,1,制造,7.56,保留当前套餐
19,22,12,基础版,3,17.1,3,咨询服务,3.5,保留当前套餐
6,22,15,基础版,3,12.3,3,咨询服务,27.28,保留当前套餐
2,29,9,基础版,5,13.4,8,电商,8.55,保留当前套餐
17,24,18,免费版,2,16.9,6,教育,32.97,保留当前套餐
13,26,14,免费版,3,18.9,4,制造,14.46,保留当前套餐
