opportunity_id,created_date,channel,industry,lead_score,deal_size_k,sales_cycle_days,touchpoints,owner_region,status
80352,2024-06-10,partner,healthcare,95.8,40.73,16.0,6,north,won
80548,2024-01-25,outbound,,70.3,44.31,6.0,9,east,lost
80969,2023-09-04,event,education,50.5,6.88,39.0,8,east,lost
80223,2023-07-02,partner,it,44.7,39.78,36.0,6,west,won
80402,2023-12-08,event,education,93.5,46.01,47.0,14,south,won
80327,2023-08-27,outbound,retail,47.0,36.89,50.0,9,east,lost
80426,2023-10-16,outbound,retail,66.5,,23.0,4,east,lost
81097,2024-05-18,inbound,retail,43.3,52.92,70.0,10,north,open
81262,2024-06-10,outbound,it,31.1,28.98,45.0,10,south,open
80545,2024-06-27,event,manufacturing,73.4,28.01,30.0,7,west,won
80886,2024-03-24,partner,manufacturing,80.0,42.21,44.0,5,east,open
81028,2024-03-12,inbound,manufacturing,78.7,7.82,42.0,6,east,lost
81143,2024-04-02,inbound,it,87.7,45.49,36.0,8,south,won
80003,2024-03-17,partner,education,70.1,,47.0,11,east,lost
81174,2023-12-23,outbound,it,74.0,72.14,18.0,4,south,lost
80872,2024-04-13,partner,education,60.8,36.96,46.0,9,west,open
80396,2024-07-24,outbound,it,65.7,78.56,35.0,10,east,open
80272,2023-09-21,inbound,it,91.4,49.5,28.0,9,north,lost
80889,2024-04-19,outbound,retail,49.1,46.94,61.0,7,south,lost
80427,2023-06-09,partner,it,68.8,1.0,61.0,8,east,open
80757,2023-10-21,partner,retail,83.9,66.91,45.0,8,south,won
80555,2023-12-29,partner,retail,34.5,24.81,42.0,8,north,open
80977,2023-07-09,inbound,manufacturing,76.6,32.06,45.0,6,north,open
80253,2023-07-16,inbound,retail,40.3,44.71,29.0,9,south,won
80336,2023-11-22,partner,,37.9,52.5,62.0,10,west,open
80508,2024-04-20,partner,retail,53.7,27.36,44.0,5,south,won
80632,2023-06-03,inbound,healthcare,41.7,51.06,13.0,5,west,lost
81150,2023-11-30,outbound,,89.5,33.53,76.0,8,west,open
81011,2023-12-29,outbound,education,48.7,39.01,17.0,7,west,won
80431,2023-07-06,outbound,retail,78.3,49.41,3.0,6,south,open
80144,2023-11-21,outbound,retail,66.8,38.09,43.0,9,west,open
80765,2023-11-16,outbound,manufacturing,55.7,17.11,24.0,5,north,won
81192,2024-01-03,event,it,83.7,72.09,56.0,7,west,won
80086,2023-07-30,partner,manufacturing,63.0,56.22,35.0,8,north,lost
81099,2023-09-15,partner,education,45.3,34.17,66.0,8,south,lost
80688,2023-09-20,inbound,manufacturing,53.5,74.15,38.0,9,east,lost
81007,2024-06-13,outbound,healthcare,33.7,89.76,56.0,7,south,lost
80763,2024-04-15,outbound,retail,,,295.0,11,west,lost
81070,2024-05-20,outbound,retail,50.6,14.95,70.0,10,south,lost
80410,2023-06-01,outbound,retail,83.6,70.04,24.0,6,north,open
80579,2023-08-19,outbound,retail,58.2,38.63,61.0,10,west,won
80878,2024-01-23,event,education,48.3,80.43,39.0,11,south,open
80364,2023-06-29,outbound,,53.4,73.33,60.0,5,south,won
80452,2024-01-11,outbound,retail,93.8,28.36,225.0,9,south,lost
81287,2023-08-09,partner,manufacturing,,36.61,38.0,5,north,open
80417,2024-03-15,event,manufacturing,44.0,59.77,55.0,4,south,open
80498,2024-05-14,partner,it,,99.02,3.0,8,north,open
80406,2023-07-16,outbound,manufacturing,73.4,15.43,69.0,9,east,lost
80553,2023-12-04,partner,healthcare,45.5,61.26,18.0,7,south,open
81206,2023-11-15,inbound,it,44.6,48.19,37.0,5,south,won
80522,2024-07-07,partner,it,65.5,,42.0,8,south,open
80976,2023-06-29,partner,it,51.3,47.43,18.0,6,north,won
81086,2024-04-02,inbound,healthcare,,,52.0,6,north,lost
80602,2023-10-04,outbound,healthcare,80.6,37.69,30.0,7,east,open
80972,2023-09-30,inbound,manufacturing,,,69.0,4,west,open
80066,2024-01-06,partner,it,96.2,,27.0,11,south,lost
80671,2024-02-21,partner,retail,67.4,19.41,36.0,4,east,open
81113,2024-06-06,event,education,84.8,69.32,26.0,9,south,won
81257,2023-06-20,outbound,healthcare,57.4,47.33,36.0,5,north,open
81019,2023-07-28,partner,it,,70.55,85.0,10,south,open
81278,2023-06-06,inbound,it,68.6,18.2,53.0,10,west,won
80726,2023-08-14,partner,retail,63.7,41.31,33.0,5,west,won
80041,2024-04-29,partner,healthcare,30.3,6.46,59.0,7,east,won
80072,2023-11-05,event,healthcare,50.2,31.04,49.0,6,east,lost
80582,2023-06-30,event,manufacturing,43.4,10.67,27.0,8,west,lost
81196,2023-10-15,partner,education,24.7,23.51,72.0,5,south,lost
81031,2024-04-04,inbound,education,37.3,41.48,52.0,4,east,won
80362,2024-04-07,event,healthcare,,57.69,14.0,4,east,lost
81095,2023-08-07,event,manufacturing,88.8,44.13,77.0,4,south,open
80815,2024-04-22,outbound,it,66.7,,55.0,7,east,won
80523,2023-12-14,event,manufacturing,81.4,,27.0,7,west,won
81204,2023-10-31,inbound,it,48.8,15.2,63.0,7,north,open
80330,2023-12-23,partner,healthcare,50.4,,65.0,8,east,won
80415,2023-07-13,outbound,manufacturing,68.1,50.75,49.0,6,east,won
80009,2024-03-20,event,education,50.7,64.52,3.0,6,east,lost
81245,2023-09-08,partner,retail,46.2,44.0,15.0,9,north,open
81276,2023-07-31,inbound,,,64.48,40.0,9,north,open
81094,2023-08-03,outbound,it,100.0,49.35,39.0,5,north,lost
80916,2023-07-30,partner,,83.3,32.09,310.0,8,west,won
80478,2023-06-01,event,retail,64.6,25.25,410.0,8,east,lost
80947,2024-03-12,event,retail,48.4,19.74,39.0,8,south,won
80917,2023-11-01,event,healthcare,70.0,64.15,45.0,7,north,lost
80735,2024-03-28,inbound,healthcare,59.0,32.18,64.0,9,east,lost
81018,2024-02-07,outbound,it,66.7,1.73,55.0,6,south,open
80734,2024-02-28,inbound,retail,71.1,51.68,70.0,11,north,lost
80489,2023-11-01,inbound,retail,45.6,22.5,75.0,9,south,lost
80018,2023-11-14,event,education,75.9,33.98,48.0,13,north,lost
81250,2024-04-11,inbound,retail,74.9,49.21,41.0,4,north,open
80224,2023-11-09,event,healthcare,47.1,40.6,40.0,5,east,open
80893,2024-05-25,partner,education,75.0,28.92,56.0,11,west,open
80127,2023-07-01,partner,education,64.9,41.61,32.0,7,east,open
80284,2024-04-02,event,manufacturing,66.0,49.71,43.0,4,west,open
81249,2024-03-23,outbound,education,78.2,56.62,62.0,4,north,won
80454,2024-07-08,event,healthcare,51.0,16.24,62.0,9,west,lost
80438,2023-12-06,outbound,manufacturing,41.6,48.89,35.0,8,west,lost
80101,2023-08-03,outbound,it,54.9,65.8,26.0,9,south,open
81294,2024-01-18,partner,education,60.7,48.55,27.0,10,north,won
80892,2023-07-04,partner,manufacturing,54.3,91.94,61.0,2,north,lost
80748,2023-09-01,outbound,education,57.9,38.72,28.0,4,west,lost
