area_sqm,bedrooms,bathrooms,floor,building_age,distance_to_center_km,school_score,renovated,district,near_subway,price_k
133.9,1,1,30,1,13.44,6.7,yes,suburb,yes,383.56
110.1,5,1,8,23,8.41,8.7,no,inner_ring,no,407.98
77.8,5,1,22,17,0.5,7.9,yes,inner_ring,yes,417.32
98.1,1,1,18,25,14.58,7.9,yes,suburb,no,280.13
41.6,4,2,26,30,8.72,6.8,no,suburb,no,235.72
116.2,3,3,22,14,8.01,6.9,yes,suburb,yes,446.5
117.8,5,2,22,22,10.21,6.6,yes,core,yes,484.86
115.6,1,1,24,11,0.5,6.6,yes,suburb,yes,391.38
70.9,5,3,16,18,7.4,6.9,no,core,no,390.81
113.6,2,2,17,24,0.5,7.2,yes,core,yes,489.78
93.8,5,2,32,6,16.93,9.6,no,suburb,yes,378.96
67.3,5,2,25,1,10.2,7.9,no,inner_ring,no,373.89
126.7,2,1,3,7,0.5,6.0,yes,suburb,yes,416.38
113.4,2,1,10,33,9.14,7.2,yes,suburb,no,307.92
111.8,2,1,7,30,12.47,9.1,no,suburb,yes,297.6
83.3,2,1,21,30,5.54,7.1,yes,suburb,no,317.12
91.1,2,2,32,12,4.78,7.5,no,inner_ring,yes,388.79
35.0,1,1,14,12,5.36,5.6,yes,core,yes,317.97
137.6,4,2,28,28,12.34,8.7,yes,inner_ring,yes,488.21
113.4,1,2,6,6,4.0,7.1,no,suburb,no,318.83
124.2,4,1,30,31,9.62,7.3,yes,core,no,458.56
35.3,1,1,12,17,10.2,6.0,no,inner_ring,no,168.92
130.8,4,2,8,32,6.38,5.1,yes,inner_ring,no,407.02
65.2,5,1,4,34,5.79,6.1,no,suburb,no,251.12
123.6,1,3,1,29,11.27,7.1,yes,inner_ring,yes,344.84
142.8,2,3,9,5,3.95,5.9,yes,inner_ring,yes,475.4
148.1,4,2,8,34,14.53,8.0,no,inner_ring,no,395.8
83.1,1,1,15,26,19.05,5.8,yes,inner_ring,no,254.41
102.4,4,2,8,22,16.18,8.4,no,core,yes,414.3
86.9,4,1,22,7,8.74,5.9,no,suburb,no,333.67
111.7,2,1,19,9,9.73,8.7,yes,core,no,446.53
96.3,2,3,25,24,6.14,7.7,no,suburb,yes,373.41
90.2,4,2,16,8,6.94,7.7,no,inner_ring,no,396.37
91.3,5,3,17,1,0.5,6.4,yes,inner_ring,no,475.13
101.9,4,1,6,30,12.24,8.4,yes,suburb,yes,345.79
91.2,3,1,6,7,9.41,9.2,yes,inner_ring,no,376.64
111.4,2,1,6,9,7.97,6.7,no,suburb,no,287.01
72.4,4,2,9,34,7.56,8.7,yes,suburb,yes,355.13
114.3,3,1,1,31,5.23,7.2,yes,core,yes,425.02
48.6,4,2,24,24,7.23,6.6,yes,inner_ring,no,322.31
67.2,3,2,13,27,13.98,6.8,no,suburb,no,253.83
47.9,2,3,18,34,0.5,7.7,no,inner_ring,no,284.59
149.6,1,2,12,22,10.14,8.6,yes,inner_ring,yes,438.7
99.4,4,1,21,14,19.65,8.2,no,inner_ring,yes,336.68
108.2,1,1,29,15,1.58,6.3,no,suburb,yes,390.25
72.0,2,1,18,33,3.32,7.3,yes,inner_ring,no,323.61
35.0,1,1,9,31,6.25,8.2,yes,core,yes,309.62
117.8,1,3,9,20,10.06,8.1,no,inner_ring,yes,371.16
155.5,1,1,23,2,7.22,10.0,no,inner_ring,no,470.76
101.0,3,3,10,21,1.88,8.9,no,suburb,yes,404.47
102.0,4,2,15,11,0.52,6.0,yes,suburb,yes,411.39
103.2,2,1,23,4,14.51,6.8,no,inner_ring,no,333.82
125.6,5,2,32,14,17.56,8.6,no,suburb,yes,414.3
61.9,2,2,2,9,10.5,5.4,no,suburb,no,189.13
35.0,5,2,4,4,7.16,7.4,no,inner_ring,yes,339.76
93.7,5,2,27,29,4.44,6.4,no,core,no,427.69
