session_duration_min,pages_viewed,past_orders,discount_rate,loyalty_score,traffic_source,membership_tier,device_type,cart_items,order_value
12.99,11,5,0.055,41.0,social,none,desktop,3,130.25
6.54,10,1,0.142,43.8,social,gold,desktop,3,127.36
18.87,9,5,0.076,75.7,organic,none,mobile,4,145.52
18.98,9,7,0.026,68.0,email,gold,mobile,4,183.9
12.7,4,1,0.067,61.6,email,none,mobile,2,96.95
8.55,10,6,0.076,75.4,email,gold,desktop,3,157.15
2.09,4,7,0.121,54.0,organic,none,desktop,5,134.34
9.02,14,5,0.147,57.1,social,silver,desktop,3,128.7
14.56,9,4,0.0,59.2,ads,none,mobile,4,125.93
8.79,6,4,0.061,76.6,ads,none,mobile,4,124.0
2.1,13,3,0.074,63.0,ads,none,mobile,5,105.71
14.67,8,4,0.032,59.0,email,none,mobile,4,121.97
7.08,9,4,0.093,94.9,organic,gold,mobile,2,149.49
10.68,4,8,0.067,88.7,ads,gold,mobile,3,162.52
7.96,10,4,0.075,74.3,social,gold,mobile,4,149.31
11.2,9,5,0.015,48.2,ads,silver,desktop,7,115.09
12.97,13,8,0.062,82.3,social,none,tablet,2,138.31
14.76,13,2,0.085,44.6,email,silver,mobile,7,173.39
12.77,12,5,0.15,66.6,email,gold,tablet,4,154.09
5.88,9,6,0.121,44.6,email,silver,desktop,4,131.63
11.39,9,4,0.077,60.5,organic,none,mobile,3,124.96
12.63,8,6,0.099,60.5,email,silver,tablet,6,140.88
8.13,14,6,0.048,82.9,email,silver,mobile,7,178.42
6.5,10,2,0.095,61.1,organic,silver,mobile,5,127.85
5.9,15,5,0.049,37.3,email,gold,mobile,7,171.52
18.46,11,5,0.066,59.3,organic,none,desktop,4,146.21
17.89,12,5,0.045,33.5,email,gold,mobile,3,155.25
13.3,11,7,0.096,71.4,social,silver,mobile,3,145.97
17.96,9,5,0.095,69.4,organic,silver,mobile,3,140.01
7.64,9,6,0.085,64.0,organic,none,desktop,7,136.64
15.76,9,6,0.094,54.5,social,none,mobile,2,121.56
14.13,13,2,0.0,56.1,organic,none,mobile,4,110.57
12.69,13,3,0.056,45.0,ads,silver,mobile,4,158.78
10.31,10,4,0.056,65.7,organic,none,desktop,1,133.46
7.48,7,3,0.043,44.2,ads,none,mobile,3,92.66
14.64,8,6,0.044,58.9,ads,none,desktop,4,125.63
6.55,8,4,0.124,36.2,ads,silver,desktop,8,132.38
12.0,13,4,0.088,71.0,ads,silver,mobile,5,138.3
8.25,10,5,0.17,72.3,social,silver,mobile,4,143.79
10.85,10,3,0.099,26.8,organic,none,desktop,7,124.29
3.45,12,4,0.094,96.4,ads,none,mobile,6,154.2
7.67,8,4,0.22,71.7,organic,none,mobile,3,118.96
10.91,8,6,0.1,66.4,organic,silver,mobile,8,128.07
13.18,12,2,0.218,58.5,organic,none,desktop,7,167.87
14.49,7,1,0.109,60.7,organic,gold,desktop,6,133.69
17.6,7,4,0.004,53.1,email,none,mobile,6,146.67
1.0,15,6,0.094,43.9,organic,silver,mobile,6,155.16
5.8,9,6,0.096,70.7,organic,none,tablet,3,118.77
1.0,9,4,0.058,20.7,ads,silver,mobile,1,82.03
18.74,16,5,0.102,72.9,organic,gold,tablet,4,165.05
11.5,12,2,0.118,65.2,organic,gold,mobile,4,150.61
9.89,11,4,0.058,53.0,email,gold,desktop,4,139.65
15.39,12,7,0.059,78.0,social,none,mobile,5,176.5
20.6,12,8,0.074,36.7,organic,none,tablet,2,151.54
17.18,5,5,0.062,66.2,ads,silver,desktop,4,155.77
18.86,5,6,0.057,26.4,social,none,desktop,2,117.31
