income_k,debt_ratio,credit_score,employment_years,existing_loans,home_ownership,marital_status,application_channel,approved
21.27,0.61,544.0,4.7,0,own,married,branch,approved
41.42,0.2,779.0,7.3,0,mortgage,single,web,approved
23.57,0.462,703.0,1.9,1,own,married,web,approved
19.52,0.199,679.0,14.1,0,rent,single,web,approved
34.61,0.234,564.0,3.5,1,rent,married,web,approved
7.41,0.426,711.0,3.7,0,rent,single,web,approved
28.79,0.351,484.0,8.8,3,own,single,partner,rejected
29.42,0.382,699.0,6.2,2,rent,married,web,approved
27.7,0.403,517.0,0.0,0,rent,married,web,approved
22.4,0.639,578.0,1.1,0,own,married,web,approved
24.04,0.217,672.0,0.8,2,rent,single,web,approved
22.04,0.433,671.0,10.1,2,rent,married,web,approved
21.56,0.073,573.0,12.9,2,mortgage,married,web,approved
27.97,0.086,708.0,3.8,3,rent,single,branch,approved
8.49,0.2,563.0,6.9,1,rent,married,partner,approved
5.35,0.484,711.0,4.0,3,own,married,web,approved
22.86,0.41,530.0,2.4,2,rent,single,partner,approved
24.41,0.217,578.0,7.5,1,own,married,branch,approved
22.12,0.094,543.0,0.0,3,own,married,partner,approved
36.31,0.375,708.0,7.5,3,own,married,partner,approved
18.12,0.326,646.0,6.8,3,mortgage,married,web,approved
17.87,0.43,570.0,5.6,3,mortgage,married,partner,approved
18.11,0.197,593.0,4.3,3,mortgage,single,web,rejected
17.0,0.354,631.0,14.5,1,rent,single,web,approved
22.53,0.401,653.0,6.6,0,mortgage,married,partner,approved
10.97,0.601,641.0,3.1,3,rent,single,web,rejected
12.58,0.407,742.0,6.7,2,own,single,web,approved
8.21,0.349,571.0,4.7,0,rent,single,web,approved
23.5,0.307,786.0,7.7,1,own,single,web,approved
10.85,0.348,659.0,0.0,2,mortgage,married,branch,approved
19.15,0.353,682.0,8.6,1,rent,married,partner,approved
35.0,0.02,578.0,10.0,0,rent,single,branch,approved
18.11,0.3,589.0,4.4,3,rent,single,partner,approved
9.22,0.236,555.0,0.0,1,rent,single,web,approved
28.17,0.193,732.0,4.8,1,rent,single,web,approved
19.32,0.084,672.0,7.0,0,mortgage,married,partner,approved
35.11,0.181,665.0,8.7,3,rent,single,branch,approved
44.19,0.446,597.0,3.5,0,rent,married,branch,approved
12.28,0.577,632.0,10.8,0,mortgage,married,web,approved
22.75,0.555,621.0,6.0,2,own,married,partner,rejected
32.83,0.44,540.0,10.6,2,own,married,branch,approved
28.03,0.263,712.0,5.2,1,mortgage,single,branch,approved
23.27,0.292,662.0,6.7,0,own,single,partner,approved
14.62,0.576,635.0,12.2,1,rent,single,web,approved
9.19,0.394,678.0,6.9,1,mortgage,single,partner,approved
15.9,0.057,675.0,12.7,1,mortgage,married,partner,approved
12.28,0.248,537.0,0.0,1,rent,married,web,rejected
15.59,0.451,679.0,8.9,2,mortgage,single,web,approved
24.07,0.403,562.0,8.8,1,own,married,branch,approved
22.29,0.275,579.0,8.1,2,rent,single,partner,approved
28.02,0.389,636.0,6.0,1,mortgage,married,partner,approved
18.66,0.075,634.0,4.1,1,mortgage,married,branch,approved
24.88,0.225,621.0,1.3,2,rent,single,web,approved
39.97,0.276,746.0,8.1,1,own,married,web,approved
3.0,0.318,587.0,8.6,1,mortgage,married,partner,approved
21.08,0.165,639.0,5.4,0,own,single,web,approved
23.08,0.285,538.0,5.7,1,own,married,web,approved
33.51,0.363,662.0,5.6,0,mortgage,married,branch,approved
13.68,0.123,645.0,7.9,1,rent,single,branch,approved
10.62,0.342,685.0,2.8,1,mortgage,single,partner,approved
20.6,0.269,609.0,8.4,3,mortgage,married,branch,approved
25.49,0.381,788.0,2.2,0,rent,single,web,approved
17.82,0.262,820.0,4.7,1,mortgage,single,branch,approved
28.55,0.36,622.0,6.8,0,mortgage,married,partner,approved
16.75,0.268,655.0,0.0,0,rent,married,web,rejected
34.21,0.241,644.0,9.6,1,mortgage,single,branch,approved
10.08,0.473,633.0,3.1,1,rent,single,branch,approved
11.28,0.391,639.0,8.6,1,mortgage,married,web,approved
21.39,0.082,667.0,7.6,3,mortgage,married,partner,approved
18.7,0.529,624.0,3.8,2,rent,married,web,approved
29.41,0.22,655.0,9.6,0,own,single,web,approved
17.89,0.584,718.0,3.0,0,rent,married,web,approved
11.62,0.49,632.0,6.0,2,rent,married,web,approved
21.73,0.246,611.0,4.2,2,mortgage,married,web,approved
26.08,0.421,650.0,8.2,1,rent,married,web,approved
33.04,0.02,711.0,5.3,1,mortgage,married,web,approved
19.65,0.354,623.0,6.8,0,rent,married,web,approved
24.75,0.614,593.0,4.1,0,mortgage,married,branch,approved
18.59,0.397,597.0,9.4,2,rent,single,branch,approved
13.24,0.487,716.0,10.4,0,mortgage,single,web,approved
14.58,0.473,749.0,1.8,0,own,single,partner,approved
25.46,0.284,554.0,9.0,0,rent,single,web,approved
28.04,0.401,654.0,3.2,2,mortgage,single,branch,approved
20.91,0.399,653.0,2.4,2,rent,married,web,approved
21.46,0.232,599.0,8.1,4,rent,married,web,approved
3.0,0.292,793.0,11.0,2,rent,single,web,approved
7.43,0.491,744.0,6.1,0,mortgage,single,branch,approved
18.41,0.15,633.0,3.4,7,mortgage,married,branch,approved
33.98,0.288,577.0,4.9,0,mortgage,single,partner,approved
22.17,0.347,603.0,6.7,0,mortgage,married,web,approved
23.36,0.427,699.0,1.3,0,mortgage,single,branch,approved
32.11,0.353,685.0,8.5,1,own,married,web,approved
3.0,0.251,518.0,2.3,2,own,married,partner,approved
24.58,0.351,588.0,8.2,1,mortgage,single,branch,approved
18.22,0.178,612.0,2.8,1,mortgage,married,branch,approved
24.48,0.428,689.0,13.0,0,rent,married,web,approved
22.85,0.246,726.0,7.4,0,rent,married,web,approved
25.36,0.179,585.0,12.1,2,mortgage,single,web,approved
3.34,0.04,541.0,3.5,3,rent,single,branch,approved
26.26,0.559,673.0,11.7,1,mortgage,single,web,approved
14.91,0.435,559.0,10.6,1,rent,married,partner,rejected
13.67,0.426,461.0,2.2,0,rent,married,web,rejected
24.13,0.346,558.0,0.0,2,rent,married,branch,approved
6.96,0.298,790.0,8.1,3,rent,single,web,approved
26.16,0.477,775.0,0.6,0,rent,married,branch,approved
4.44,0.477,682.0,4.0,0,rent,married,branch,approved
23.8,0.288,642.0,6.2,1,mortgage,single,partner,approved
19.68,0.545,593.0,9.2,2,rent,single,branch,approved
38.89,0.352,565.0,7.4,0,mortgage,single,web,approved
33.19,0.233,581.0,9.2,3,rent,married,partner,approved
24.23,0.526,710.0,13.0,2,rent,single,branch,approved
18.86,0.246,535.0,4.3,3,rent,single,partner,approved
16.61,0.361,705.0,8.5,3,mortgage,married,web,approved
27.32,0.295,675.0,16.6,4,own,single,web,approved
22.56,0.307,747.0,7.6,2,rent,single,web,approved
13.05,0.394,780.0,8.8,2,rent,single,branch,approved
20.12,0.232,643.0,5.5,1,rent,single,web,approved
31.52,0.427,563.0,0.5,0,mortgage,single,branch,approved
28.72,0.291,645.0,14.7,2,mortgage,married,partner,approved
11.54,0.339,703.0,11.1,3,rent,married,partner,approved
28.4,0.428,581.0,10.3,2,mortgage,married,web,approved
14.16,0.56,759.0,1.5,2,rent,married,partner,approved
15.54,0.29,530.0,0.0,1,mortgage,single,web,approved
10.78,0.29,659.0,3.7,4,mortgage,married,web,approved
18.48,0.242,708.0,7.3,2,mortgage,married,partner,approved
11.07,0.525,601.0,5.2,2,mortgage,married,web,approved
18.58,0.417,673.0,0.0,2,mortgage,single,partner,rejected
8.59,0.35,649.0,6.5,1,rent,married,web,approved
21.43,0.224,664.0,11.5,0,mortgage,married,branch,approved
17.39,0.695,652.0,9.4,2,rent,single,web,approved
