hidden_segment,age,income_k,monthly_visits,avg_spend,online_ratio,coupon_usage,return_rate
digital,28.3482,19.0485,5.1126,220.5198,0.7513,0.2742,0.1812
family,31.3992,19.5455,7.8558,405.8908,0.5614,0.2163,0.03
family,29.7958,20.8085,4.6563,202.2942,0.2543,0.1821,0.0269
family,34.6576,21.6652,6.9295,302.3239,0.3669,0.4671,0.0913
family,44.7562,27.4074,6.4056,429.0187,0.3361,0.239,0.0988
family,36.4623,21.5828,6.8671,249.7026,0.4043,0.3066,0.0531
family,39.7551,22.3306,8.9487,306.628,0.39,0.172,0.0
digital,26.6837,12.5078,7.565,74.0423,0.9124,0.2971,0.143
family,49.2303,14.3627,5.803,260.0446,0.3795,0.2799,0.0623
family,33.0902,12.108,8.5645,358.3038,0.3577,0.2235,0.1085
premium,36.0124,28.6542,5.2921,698.4449,0.5435,0.2129,0.0511
price_sensitive,33.881,4.0,5.7412,136.8313,0.3496,0.3744,0.1371
family,34.9274,23.4356,6.4966,269.6074,0.3158,0.5086,0.0199
family,29.2949,21.3905,10.0637,236.5069,0.3929,0.4249,0.0268
family,28.0658,22.1835,7.2304,294.1645,0.2811,0.3781,0.072
premium,33.7528,25.6282,7.6036,776.4265,0.3296,0.1776,0.1007
family,31.8873,26.5265,7.6576,334.8014,0.4182,0.2488,0.0705
digital,30.5896,14.3043,6.7859,204.9682,0.6074,0.215,0.1161
digital,21.4755,18.1047,8.2382,25.0,0.6653,0.085,0.061
premium,50.6513,31.6106,5.3356,538.3147,0.5781,0.0714,0.1131
digital,25.5223,16.1568,7.8598,198.3713,0.7576,0.2454,0.2016
digital,30.4406,24.8306,6.0929,280.2266,0.786,0.2394,0.0902
price_sensitive,32.0448,14.3081,6.238,198.7163,0.4855,0.5006,0.0711
family,26.815,21.6955,8.0005,351.5512,0.2814,0.3194,0.0749
digital,34.5757,16.9174,10.2155,167.2427,0.7567,0.2555,0.1406
digital,31.7541,10.641,6.6543,173.8915,0.7251,0.2186,0.1676
price_sensitive,27.4576,9.4815,7.8755,82.969,0.4455,0.403,0.0595
price_sensitive,49.9746,15.002,3.8264,97.7365,0.3607,0.2912,0.0263
digital,32.7013,14.8261,11.2334,160.5914,0.714,0.0761,0.0428
price_sensitive,29.6127,10.0414,3.6839,144.1904,0.2245,0.4951,0.0636
digital,31.8658,30.5073,7.3136,205.4048,0.7447,0.2009,0.0684
price_sensitive,33.0239,10.6829,7.9205,106.499,0.6007,0.4049,0.1186
digital,34.084,20.1492,13.8877,113.1527,0.8233,0.2256,0.1487
family,37.5125,16.9873,5.3361,347.3474,0.2618,0.3135,0.0704
price_sensitive,28.4204,9.9118,10.5471,92.3574,0.3365,0.272,0.0634
premium,43.9804,40.6716,4.5595,422.1701,0.2822,0.0902,0.0809
price_sensitive,38.3923,19.8091,9.0693,137.4901,0.4453,0.4062,0.0655
price_sensitive,41.6043,11.0193,4.9614,156.3463,0.4147,0.1726,0.0854
price_sensitive,42.5099,11.5121,7.5589,78.2233,0.4802,0.4807,0.0281
premium,54.032,34.4186,4.5429,545.1195,0.2951,0.1714,0.067
digital,30.6536,12.1393,10.7629,113.8778,0.602,0.2868,0.1397
family,36.2609,25.3296,7.2061,305.821,0.4001,0.427,0.046
price_sensitive,27.4391,6.9106,5.0818,103.4967,0.5716,0.4046,0.0781
price_sensitive,37.6029,15.0788,12.2113,137.4316,0.4009,0.5911,0.0405
premium,37.3802,31.1116,5.8775,527.6448,0.2353,0.0478,0.1184
premium,34.2968,30.9152,3.5132,483.1686,0.5642,0.0472,0.1108
family,30.5514,21.8003,7.167,195.3498,0.3118,0.2838,0.0427
premium,60.0155,34.4635,5.1923,857.121,0.4004,0.1348,0.066
family,38.7917,16.371,8.0024,476.6651,0.3762,0.3202,0.1203
family,32.3033,22.7745,6.3712,229.4561,0.3275,0.1847,0.0061
price_sensitive,34.5578,12.784,5.8709,101.4249,0.5307,0.4102,0.0559
family,34.806,28.7932,9.6091,476.5782,0.3175,0.3175,0.0346
premium,40.1986,34.1079,5.319,480.2004,0.5081,0.0606,0.033
premium,29.7024,34.9143,6.2177,497.4252,0.5887,0.1529,0.0674
digital,31.7245,9.2759,10.2164,115.153,0.7444,0.2448,0.0376
family,33.8901,31.1237,6.0993,280.2449,0.1669,0.2203,0.066
price_sensitive,39.4061,9.5295,6.8693,105.682,0.5345,0.3995,0.1122
premium,35.0273,36.7259,4.4879,587.8143,0.6123,0.0563,0.1236
digital,26.106,24.8755,4.5917,113.2145,0.6422,0.1163,0.1432
digital,37.7391,14.8342,8.3468,240.106,0.8588,0.0929,0.2169
family,52.7092,17.7364,6.6135,341.1485,0.4943,0.1562,0.081
family,38.7361,30.8656,7.9455,431.8821,0.2628,0.1282,0.0557
family,33.3705,25.9009,6.9388,284.5668,0.1508,0.3227,0.0
family,53.2242,28.0743,7.7249,324.7235,0.4116,0.2,0.0906
family,33.928,20.7832,7.3145,444.8106,0.1667,0.2544,0.0066
digital,20.4914,25.203,10.6562,268.1966,0.7076,0.2431,0.023
digital,29.5496,21.7416,11.7703,153.4024,0.6791,0.273,0.0893
digital,33.2015,18.0476,8.517,82.5754,0.747,0.2147,0.0776
